# x = -.3 v ** (1/2)
# Spring Constants, Work^(1/2)
1000, 1.253739293370124
1200, 1.5382125419611212
1400, 1.8045683227040497
1600, 2.073292761935161
1800, 2.3438455989866855
2000, 2.618737558868973
2200, 2.8947361293603957
2400, 3.176012103638831
2600, 3.4599796113197807
2800, 3.7470327245306665
3000, 4.036341973256429
3200, 4.3297786938114164
3400, 4.626956155340661
3600, 4.924021058789626
3800, 5.224120353568879
4000, 5.537066586519376
4200, 5.833323560400016
4400, 6.161428825997981
4600, 6.4677585690793595
4800, 6.797855314020423
5000, 7.127251252789523
5200, 7.428569059354551
5400, 7.784414013081187
5600, 8.132660390848415
5800, 8.453967344918356
6000, 8.78791035159669
6200, 9.16586249100802
6400, 9.534997345635825
6600, 9.8796317748454
6800, 10.198792712314914
7000, 10.570371005465383
7200, 10.985023790887107
7400, 11.395198925718
7600, 11.784156481648276
7800, 12.148818095208519
8000, 12.49078327876578
8200, 12.813289232333092
8400, 13.256023507643757
8600, 13.737119409373658
8800, 14.217093164660426
9000, 14.679056843426299
9200, 15.117836024904323
9400, 15.533437299330311
9600, 15.92758613092756
9800, 16.302257241606267
10000, 16.659224013882845
10200, 17.00206753789069
10400, 17.51004399431235
10600, 18.09664214129677
10800, 18.711241349311436
